Country/Territory,Impressions
Djibouti,24
Guernsey,9
Guam,75
Japan,"38,138"
Iraq,496
Georgia,547
Turkey,"16,363"
Sao Tome and Principe,3
Botswana,50
Suriname,25
Sri Lanka,825
Qatar,553
Malawi,32
Kuwait,312
Lithuania,"1,552"
Greece,"3,094"
Morocco,812
Liechtenstein,7
Marshall Islands,5
Spain,"11,467"
Anguilla,3
Norway,"1,355"
Tanzania,228
Bermuda,17
Myanmar (Burma),245
Palestine,175
Ireland,880
Germany,"10,607"
Samoa,8
Libya,42
Turkmenistan,16
Uruguay,189
Mongolia,130
Republic of the Congo,28
Azerbaijan,617
India,"50,273"
Fiji,76
South Africa,"1,592"
Maldives,69
Panama,170
Tonga,1
Vanuatu,4
Pakistan,"3,238"
Tunisia,729
China,"14,801"
Christmas Island,2
Oman,297
Mozambique,91
Saint Vincent and the Grenadines,7
Hong Kong,"3,341"
Rwanda,69
Iran,233
Moldova,379
Mexico,"5,383"
Albania,192
Kenya,874
Finland,"1,258"
Macedonia (FYROM),335
Argentina,"1,793"
Palau,2
American Samoa,10
New Caledonia,35
Switzerland,"1,075"
Uganda,173
Uzbekistan,175
Angola,62
Aruba,15
Malaysia,"5,010"
Andorra,35
Montserrat,2
Bolivia,239
Comoros,4
Cameroon,118
Cook Islands,3
Monaco,15
Peru,933
Italy,"4,633"
Namibia,59
Kyrgyzstan,274
Macau,153
South Korea,"6,669"
Algeria,"1,260"
Papua New Guinea,12
Senegal,125
United Kingdom,"10,789"
Saint Kitts and Nevis,9
Thailand,"6,976"
Guadeloupe,17
Nepal,553
Laos,77
Australia,"5,077"
Indonesia,"12,030"
Mauritius,235
The Bahamas,45
Czech Republic,"1,235"
Zimbabwe,244
Barbados,32
Belize,29
Cote d'Ivoire,141
French Polynesia,73
Vietnam,"9,397"
Honduras,153
Trinidad and Tobago,85
Bahrain,216
Grenada,6
Bulgaria,"1,830"
Sweden,"2,389"
Togo,34
Russia,"21,511"
Gibraltar,14
Nigeria,"1,580"
British Virgin Islands,6
Burundi,15
French Guiana,2
Ethiopia,141
Belgium,"1,415"
Cuba,14
Portugal,817
Solomon Islands,3
Jersey,5
Brazil,"3,486"
Mali,24
Swaziland,15
Guyana,26
Kazakhstan,"2,228"
Armenia,290
Slovakia,"1,110"
Zambia,84
Reunion,101
Syria,142
Netherlands,"2,392"
Denmark,"1,919"
France,"8,798"
Burkina Faso,9
Ecuador,533
Guatemala,268
Hungary,"2,029"
Bangladesh,"1,352"
Antigua and Barbuda,4
Liberia,24
Guinea,27
El Salvador,191
Netherlands Antilles,23
Equatorial Guinea,14
Montenegro,285
Niger,13
Sudan,93
Afghanistan,131
Poland,"14,857"
Brunei,123
Ghana,400
Paraguay,137
Puerto Rico,203
Serbia,"1,736"
Philippines,"7,797"
Colombia,"1,346"
Bosnia and Herzegovina,"1,395"
Costa Rica,323
Slovenia,593
Ukraine,"7,764"
Lebanon,328
Svalbard and Jan Mayen,5
U.S. Virgin Islands,27
Tajikistan,33
Saudi Arabia,"1,971"
Estonia,406
Belarus,"1,551"
Romania,"4,392"
Egypt,"2,100"
United Arab Emirates,"1,467"
Central African Republic,6
Haiti,15
New Zealand,"1,013"
Dominican Republic,339
Sierra Leone,10
Gabon,31
Mayotte,10
Jordan,271
Cayman Islands,7
Chad,4
Luxembourg,203
Saint Pierre and Miquelon,1
Northern Mariana Islands,11
Cyprus,273
Unspecified,82
Madagascar,66
Cambodia,452
Saint Lucia,7
Malta,152
Israel,"1,423"
Faroe Islands,24
Dominica,5
Martinique,14
Canada,"7,184"
Austria,"1,263"
Greenland,12
Seychelles,18
Cape Verde,10
Benin,31
Lesotho,24
United States,"39,414"
Somalia,91
Venezuela,968
Mauritania,14
Democratic Republic of the Congo,38
Jamaica,103
Nicaragua,110
Guinea-Bissau,5
Bhutan,18
Timor-Leste,10
Taiwan,"9,025"
Turks and Caicos Islands,7
Yemen,52
Iceland,84
Singapore,"1,895"
The Gambia,14
Latvia,765
Chile,909
Croatia,"2,487"
San Marino,5
Kosovo,148
