Software,Version
SketchUp Pro,2015
Vray for SketchUp,2.0 SP3
Safari,8.0.7
Fetch,5.7.5
Google Earth Pro,7.1
Firefox,38.0.5
Chrome,43
QuickTime Plug-in,7.7.6
Flash Player Plug-in,18
Shockwave Plug-in,12.1.8
Silverlight Plug-in,5.1.4
AIR Plug-in,18
Musicnotes ,1.19
QuickTime Player,7.7.6
iTunes,12.2
DivX Bundle,10.3
VLC media player ,2.2.1
Flip4Mac™  Windows Media® Components ,2.4.4
Microsoft Office,"Win 2013
Mac 2011"
Microsoft Word,"Win 2013
Mac 14.4.2"
ProQuest (Write-N-Cite),4.4.1298
Microsoft Excel,"Win 2013
Mac 14.4.2"
Microsoft Power Point,"Win 2013
Mac 14.4.2"
Adobe Acrobat Professional,DC (15.007)
Adobe Acrobat Distiller,DC (15.007)
Adobe After Effects,CC 2015
Adobe Audition,CC 2015
Adobe Bridge,CC 2015
Adobe Character Animator,CC 2015
Adobe Digital Editions,4.0.3
Adobe DNG Converter,9.1
Adobe Dreamweaver ,CC 2015
Adobe Edge Animate,CC 2015
Adobe Edge Code,CC 2015
Adobe Edge Reflow,CC 2015
Adobe ExtendScript Toolkit,CC 2015
Adobe Extension Manager,CC 2015
 Adobe Fireworks,CS6
 Adobe Flash Builder,4.7
Adobe Flash Professional,CC 2015
Adobe Illustrator,CC 2015
Adobe InCopy,CC 2015
Adobe InDesign ,CC 2015
Adobe Lightroom,6
Adobe Media Encoder,CC 2015
Adobe Muse ,CC 2015
Adobe Photoshop,CC 2015
Adobe Prelude,CC 2015
 Adobe Premiere Pro,CC 2015
Adobe Scout,CC 2015
Adobe Speedgrade,CC 2015
Universal Type Client ,5
Final Draft,9.0.7
TextWrangler ,4.5.12
FontLab Studio ,5.3.4
Audacity ,2.1.0
MPEG Streamclip,1.9.2 / 1.2
Finale Notepad ,2012
Photos,1.0.1 
Numbers,3.5.3
Pages,5.5.3
iMovie ,10.0.9
GarageBand,10.1.0
Processing,2.2.1
Arduino + USB board driver for Mac,1.6.5
Second Life Viewer,3.8.0.302622
Ploopp SL,0.6
X-code,6.4
iOS Dev (part of X-code),6.4
Final Cut Studio,3
Final Cut Pro,7.0.3
Compressor,3.5.3
Cinema Tools,4.5.1
QuickTime Pro,7.6.5
Apple DVD Studio Pro,4.3
Color,1.5.3
Motion,4.0.3
Soundtrack Pro     ,3.0.1
"Avid Media Composer
- AVCHD AMA plug-in
- MXF plugin",8.4
Sorenson Squeeze for Avid Media Composer,8.4
Avid FX,6.4
Online Sheet Music,Win 8.3.4.0 / Mac 1.5.15b
Luna insight (Now Digital Media Collection),Online
Artstor (Weblink),Online
Artstor Offline Viewer,3.1 Win / 4.0 Mac
Fashion Snoops,Online
"Information Technology

",N/A
Alvin ,N/A
FAQ ,N/A
Library Resources ,N/A
NewSchool Gmail,N/A
Look up your NetID or Reset your Password,N/A
LyndaCampus,N/A
My New School,N/A
The New School,N/A
Report a Problem,N/A
Burn,2.5.1
StuffIt Expander,16
EndPoint Protection,12.1.6
VMWare Horizon Client,3.4.0
Drop Box,N/A
Manuals and Resources,N/A
Secure Drop Box,N/A
