Country,2011,2012,2013,2014,2015
Broadcasting Board of Governors,57,53,54,50,52
Court Services and Offender Supervision Agency,70,67,61,61,63
Department of Agriculture,64,60,57,58,61
Department of Commerce,71,69,68,69,67
Department of Defense,66,64,58,59,61
Department of Education,62,60,60,62,64
Department of Energy,63,62,60,57,60
Department of Health and Human Services,65,65,63,64,65
Department of Homeland Security,61,56,51,48,47
Department of Housing and Urban Development,60,59,49,51,57
Department of Justice,72,68,66,66,69
Department of Labor,63,61,57,60,64
Department of State,74,72,69,71,69
Department of the Interior,65,64,60,60,61
Department of the Treasury,70,66,59,60,58
Department of Transportation,63,66,63,62,64
Department of Veterans Affairs,64,59,59,57,57
Environmental Protection Agency,70,69,60,60,61
Equal Employment Opportunity Commission,64,64,59,61,64
Federal Communications Commission,69,67,71,67,61
Federal Energy Regulatory Commission,70,68,70,71,74
Federal Trade Commission,72,70,68,69,71
General Services Administration,73,71,65,65,66
National Aeronautics and Space Administration,75,74,74,74,76
National Archives and Records Administration,55,50,49,49,53
National Credit Union Administration,69,71,61,68,72
National Labor Relations Board,65,59,58,58,63
National Science Foundation,69,63,62,66,67
Nuclear Regulatory Commission,80,75,72,73,74
Office of Management and Budget,60,71,56,66,75
Office of Personnel Management,71,69,69,69,69
Pension Benefit Guaranty Corporation,67,63,58,60,63
Railroad Retirement Board,68,68,68,67,69
Securities and Exchange Commission,61,59,60,65,68
Small Business Administration,61,60,60,57,53
Social Security Administration,73,69,65,66,69
U.S. Agency for International Development,63,62,60,59,62
